Rank,Partition,Iterations,Win Rate,Avg Cards Left,EV
1,"[5c, 5h, 8d, 8c] + 4 singles (3d, 7s, ks, 2d)",100,0.4500,2.3000,1.7300
1,"[5c, 5h, 8d, 8c] + 4 singles (3d, 7s, ks, 2d)",500,0.4880,2.1400,2.8580
1,"[5c, 5h, 8d, 8c] + 4 singles (3d, 7s, ks, 2d)",1000,0.5300,1.9390,3.8320
1,"[5c, 5h, 8d, 8c] + 4 singles (3d, 7s, ks, 2d)",1500,0.5320,1.9487,3.7813
1,"[5c, 5h, 8d, 8c] + 4 singles (3d, 7s, ks, 2d)",2000,0.5330,1.9515,3.8020
1,"[5c, 5h, 8d, 8c] + 4 singles (3d, 7s, ks, 2d)",2500,0.5256,1.9864,3.6340
1,"[5c, 5h, 8d, 8c] + 4 singles (3d, 7s, ks, 2d)",3000,0.5257,1.9820,3.6610
2,"[5c, 5h] + [8d, 8c] + 4 singles (3d, 7s, ks, 2d)",100,0.3400,2.2800,-0.2300
2,"[5c, 5h] + [8d, 8c] + 4 singles (3d, 7s, ks, 2d)",500,0.3840,2.1220,0.6420
2,"[5c, 5h] + [8d, 8c] + 4 singles (3d, 7s, ks, 2d)",1000,0.3930,2.0740,0.8960
2,"[5c, 5h] + [8d, 8c] + 4 singles (3d, 7s, ks, 2d)",1500,0.3833,2.1333,0.6247
2,"[5c, 5h] + [8d, 8c] + 4 singles (3d, 7s, ks, 2d)",2000,0.3810,2.1515,0.5465
2,"[5c, 5h] + [8d, 8c] + 4 singles (3d, 7s, ks, 2d)",2500,0.3796,2.1560,0.4968
2,"[5c, 5h] + [8d, 8c] + 4 singles (3d, 7s, ks, 2d)",3000,0.3833,2.1447,0.5633
3,"[8d, 8c] + 6 singles (3d, 5c, 5h, 7s, ks, 2d)",100,0.1600,2.1800,-2.8100
3,"[8d, 8c] + 6 singles (3d, 5c, 5h, 7s, ks, 2d)",500,0.1360,2.2980,-3.3320
3,"[8d, 8c] + 6 singles (3d, 5c, 5h, 7s, ks, 2d)",1000,0.1350,2.3200,-3.3740
3,"[8d, 8c] + 6 singles (3d, 5c, 5h, 7s, ks, 2d)",1500,0.1387,2.3200,-3.3220
3,"[8d, 8c] + 6 singles (3d, 5c, 5h, 7s, ks, 2d)",2000,0.1450,2.3110,-3.2475
3,"[8d, 8c] + 6 singles (3d, 5c, 5h, 7s, ks, 2d)",2500,0.1444,2.3148,-3.2532
3,"[8d, 8c] + 6 singles (3d, 5c, 5h, 7s, ks, 2d)",3000,0.1433,2.3140,-3.2633
4,"[5c, 5h] + 6 singles (3d, 7s, 8d, 8c, ks, 2d)",100,0.1300,2.2100,-3.1400
4,"[5c, 5h] + 6 singles (3d, 7s, 8d, 8c, ks, 2d)",500,0.1600,2.3680,-3.1840
4,"[5c, 5h] + 6 singles (3d, 7s, 8d, 8c, ks, 2d)",1000,0.1510,2.4020,-3.3620
4,"[5c, 5h] + 6 singles (3d, 7s, 8d, 8c, ks, 2d)",1500,0.1520,2.4087,-3.3527
4,"[5c, 5h] + 6 singles (3d, 7s, 8d, 8c, ks, 2d)",2000,0.1495,2.4275,-3.4190
4,"[5c, 5h] + 6 singles (3d, 7s, 8d, 8c, ks, 2d)",2500,0.1528,2.3988,-3.3496
4,"[5c, 5h] + 6 singles (3d, 7s, 8d, 8c, ks, 2d)",3000,0.1527,2.3983,-3.3537
5,"8 singles (3d, 5c, 5h, 7s, 8d, 8c, ks, 2d)",100,0.0100,3.2600,-6.4000
5,"8 singles (3d, 5c, 5h, 7s, 8d, 8c, ks, 2d)",500,0.0120,3.3600,-6.6180
5,"8 singles (3d, 5c, 5h, 7s, 8d, 8c, ks, 2d)",1000,0.0150,3.3190,-6.5010
5,"8 singles (3d, 5c, 5h, 7s, 8d, 8c, ks, 2d)",1500,0.0167,3.2967,-6.4187
5,"8 singles (3d, 5c, 5h, 7s, 8d, 8c, ks, 2d)",2000,0.0140,3.2685,-6.3910
5,"8 singles (3d, 5c, 5h, 7s, 8d, 8c, ks, 2d)",2500,0.0144,3.2732,-6.3980
5,"8 singles (3d, 5c, 5h, 7s, 8d, 8c, ks, 2d)",3000,0.0143,3.2667,-6.3917
